item_id,recommend,posted year,sentiment_analysis,developer
1250.0,False,2014,2,Tripwire Interactive
1250.0,False,2014,2,Tripwire Interactive
1250.0,False,2014,0,Tripwire Interactive
1250.0,False,2014,0,Tripwire Interactive
1250.0,False,2014,2,Tripwire Interactive
1250.0,False,2015,0,Tripwire Interactive
1250.0,False,2014,2,Tripwire Interactive
227300.0,False,2015,0,SCS Software
227300.0,False,2015,0,SCS Software
239030.0,False,2014,2,3909
239030.0,False,2014,2,3909
239030.0,False,2014,2,3909
239030.0,False,2014,2,3909
239030.0,False,2013,2,3909
239030.0,False,2013,2,3909
248820.0,False,2014,2,"Hopoo Games, LLC"
248820.0,False,2014,2,"Hopoo Games, LLC"
248820.0,False,2014,2,"Hopoo Games, LLC"
248820.0,False,2015,2,"Hopoo Games, LLC"
248820.0,False,2015,2,"Hopoo Games, LLC"
248820.0,False,2015,2,"Hopoo Games, LLC"
248820.0,False,2014,2,"Hopoo Games, LLC"
248820.0,False,2014,2,"Hopoo Games, LLC"
248820.0,False,2014,2,"Hopoo Games, LLC"
248820.0,False,2014,2,"Hopoo Games, LLC"
248820.0,False,2014,2,"Hopoo Games, LLC"
248820.0,False,2014,2,"Hopoo Games, LLC"
107200.0,False,2013,2,MinMax Games Ltd.
107200.0,False,2013,2,MinMax Games Ltd.
107200.0,False,2013,2,MinMax Games Ltd.
107200.0,False,2013,2,MinMax Games Ltd.
224500.0,False,2015,2,Robotronic Games
224500.0,False,2015,2,Robotronic Games
224500.0,False,2015,2,Robotronic Games
224500.0,False,2015,0,Robotronic Games
224500.0,False,2015,0,Robotronic Games
224500.0,False,2015,0,Robotronic Games
250320.0,False,2015,2,Telltale Games
20920.0,False,2014,0,CD PROJEKT RED
20920.0,False,2014,2,CD PROJEKT RED
20920.0,False,2015,2,CD PROJEKT RED
204100.0,False,2015,2,Rockstar Studios
204100.0,False,2014,0,Rockstar Studios
204100.0,False,2014,0,Rockstar Studios
204100.0,False,2014,2,Rockstar Studios
204100.0,False,2014,2,Rockstar Studios
224600.0,False,2014,0,"Trion Worlds, Inc."
224600.0,False,2014,0,"Trion Worlds, Inc."
224600.0,False,2014,0,"Trion Worlds, Inc."
224600.0,False,2014,0,"Trion Worlds, Inc."
224600.0,False,2015,0,"Trion Worlds, Inc."
224600.0,False,2015,0,"Trion Worlds, Inc."
224600.0,False,2015,0,"Trion Worlds, Inc."
224600.0,False,2015,0,"Trion Worlds, Inc."
224600.0,False,2014,2,"Trion Worlds, Inc."
224600.0,False,2014,2,"Trion Worlds, Inc."
224600.0,False,2014,2,"Trion Worlds, Inc."
224600.0,False,2014,2,"Trion Worlds, Inc."
224600.0,False,2015,2,"Trion Worlds, Inc."
224600.0,False,2015,2,"Trion Worlds, Inc."
224600.0,False,2015,2,"Trion Worlds, Inc."
224600.0,False,2015,2,"Trion Worlds, Inc."
224600.0,False,2014,0,"Trion Worlds, Inc."
224600.0,False,2014,0,"Trion Worlds, Inc."
224600.0,False,2014,0,"Trion Worlds, Inc."
224600.0,False,2014,0,"Trion Worlds, Inc."
224600.0,False,2014,0,"Trion Worlds, Inc."
224600.0,False,2014,0,"Trion Worlds, Inc."
